,median_income,sa2_code,sa2_name
102,24967.0,210011227,Essendon Airport
20,28068.0,206041122,Melbourne
155,34939.0,210051242,Broadmeadows
240,35296.0,212051320,Clayton
236,35369.0,212041317,Springvale
158,35553.0,210051243,Campbellfield - Coolaroo
83,35735.0,207031165,Burwood
48,36819.0,206041117,Carlton
156,37000.0,210051247,Meadow Heights
256,37108.0,213011335,St Albans - South
230,37323.0,212041311,Dandenong
307,37748.0,214021384,Rosebud - McCrae
254,37904.0,213011334,St Albans - North
78,37979.0,207031163,Box Hill
216,38878.0,212021295,Doveton
257,38981.0,213011337,Sunshine North
238,39231.0,212041460,Noble Park - West
306,39267.0,214021383,Point Nepean
237,39649.0,212041318,Springvale South
32,39868.0,207031166,Burwood East
151,40000.0,210031237,Fawkner
241,40000.0,212051321,Glen Waverley - East
258,40008.0,213011336,Sunshine
229,40149.0,212041310,Clayton South
135,40228.0,209041223,Thomastown
74,40490.0,207021157,Doncaster
242,40629.0,212051322,Glen Waverley - West
80,40785.0,207021425,Doncaster East (South)
300,41022.0,214021377,Dromana
162,41104.0,210051249,Roxburgh Park - Somerton
233,41184.0,212041459,Noble Park - East
115,41250.0,209041219,Lalor
99,41291.0,209021205,Kingsbury
253,41394.0,213011333,Kings Park (Vic.)
248,41578.0,213011328,Ardeer - Albion
114,41720.0,209041217,Bundoora - West
260,41970.0,213011338,Sunshine West
231,41992.0,212041312,Dandenong North
79,42351.0,207021424,Doncaster East (North)
127,42437.0,211041273,Vermont South
126,43097.0,209041432,Epping - South
194,43147.0,211051276,Healesville - Yarra Glen
268,43162.0,213031347,Braybrook
208,43275.0,211051286,Yarra Valley
217,43385.0,212021297,Hallam
235,43704.0,212041316,Noble Park North
278,43924.0,213041359,Rockbank - Mount Cottrell
152,44033.0,210031438,Glenroy
225,44183.0,212031305,Hampton Park - Lynbrook
210,44303.0,212011288,Bunyip - Garfield
295,44348.0,214011372,Frankston North
100,44424.0,209021207,Reservoir - East
243,44434.0,212051323,Mount Waverley - North
301,44455.0,214021378,Flinders
188,44518.0,211041269,Forest Hill
302,44595.0,214021379,Hastings - Somers
