sa4_name,sa4_code,eng,serbian,arabic,russian,spanish,notstated,dutch,tamil,french,mandarin,oth,german,indig,afrikaans,persian,korean,cantones,turkish,thai,asia_austronesia,samoan,macedonian,croatian,maltese,vietnamese,polish,total,eng_per
Ballarat,201,211002,47,176,47,91,5356,255,36,208,950,840,317,30,87,31,24,186,12,85,310,4,19,194,74,77,55,220714,0.9559973540418822
Bendigo,202,203791,14,172,32,73,5691,140,46,176,666,1110,303,12,89,21,31,152,18,61,354,11,9,59,31,53,31,213348,0.9552046421808501
Geelong,203,356682,419,702,154,381,8188,581,75,468,1841,2882,1011,24,190,213,87,459,160,202,844,20,560,2184,131,362,314,379337,0.9402773786896612
Hume,204,225410,47,131,28,92,6341,187,19,241,505,820,614,23,82,17,30,161,16,108,365,8,18,201,28,33,55,235784,0.9560021036202626
Latrobe - Gippsland,205,358442,74,310,63,189,10517,696,60,261,839,1255,750,28,187,18,35,279,8,155,615,4,14,202,154,174,152,375686,0.9540999664613533
Melbourne - Inner,206,546207,580,7447,1653,3602,25702,913,685,4176,36169,13251,2887,53,403,772,2034,10073,1175,1776,4254,56,617,1280,351,5066,814,672202,0.8125637829104941
Melbourne - Inner East,207,325512,239,2853,365,899,7960,369,697,1511,40045,6543,1296,12,391,1546,1315,18952,253,522,1840,29,449,660,115,2138,397,417115,0.7803891013269721
Melbourne - Inner South,208,438971,489,1388,4209,1288,10301,594,575,2524,15589,8196,2103,12,588,284,653,3675,435,539,1524,28,127,774,106,1014,1164,497358,0.8826056884578111
Melbourne - North East,209,463088,737,15212,359,1301,13093,430,1465,1175,13995,10293,1287,46,454,1183,329,4438,1162,582,2653,545,6648,1914,783,4521,438,548340,0.8445271182113288
Melbourne - North West,210,299849,469,22323,181,1205,10175,186,476,542,3148,12668,705,26,163,417,157,1934,8067,383,2521,1094,645,2131,1227,2258,570,373730,0.80231450512402
Melbourne - Outer East,211,580639,331,2118,391,1029,10720,1499,788,1085,19604,8424,2928,56,718,1017,775,10413,176,560,2202,54,182,728,136,1415,776,648975,0.8947016449015756
Melbourne - South East,212,594088,2749,9592,1422,3357,18756,1096,4787,4297,39609,40454,2059,18,899,1355,1782,15787,1779,1064,6833,1837,524,2908,383,12256,1772,771675,0.7698681439725273
Melbourne - West,213,567004,2306,14694,554,4309,21185,530,1861,1566,15303,27911,1650,39,671,650,757,10468,2098,1093,10898,2020,5036,6513,5319,25466,1792,731906,0.774695111120827
Mornington Peninsula,214,375915,191,654,358,514,8780,718,184,720,1517,2632,1239,24,371,56,58,542,92,309,906,118,55,568,93,177,270,397275,0.9462337171984142
North West,215,191589,17,175,10,46,5997,127,50,109,714,1388,193,22,111,13,55,231,236,78,430,40,5,107,12,231,21,202222,0.9474191729881022
Shepparton,216,162190,22,1401,7,43,5095,115,36,110,560,1462,168,51,73,43,27,173,245,100,435,109,106,59,12,31,22,172911,0.9379970042391751
Warrnambool and South West,217,165850,8,146,22,49,4421,151,21,118,531,431,186,34,88,6,30,94,10,72,264,3,3,36,21,29,14,172855,0.9594747042318706
